"","leima","kirjatlaani","kansallisuus","perheen_toimeentulo","sukupuoli","siviilisaaty"
"46","000000000003141C","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"47","00000000000D96FF","Viipurin lääni","","Muu","Mies","Naimisissa"
"48","000000000000A6B9","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"49","000000000000A6BA","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"50","000000000000A6BB","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"51","0000000000120AD8","Viipurin lääni","","Ei tietoa","Nainen","Naimisissa"
"52","000000000000A6BD","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"53","000000000000A6BE","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"54","000000000000A6BF","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"55","000000000000A853","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"56","000000000000A6C0","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"57","000000000000A6C1","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"58","00000000000CFFF3","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"59","000000000000A6C3","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"60","000000000000A6C4","Viipurin lääni","","Huono","Mies","Naimisissa"
"61","00000001004F54DD","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"62","00000000001486DF","Viipurin lääni","","Huono","Mies","Naimisissa"
"63","0000000000060D68","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"64","000000000001A4EA","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"65","00000000000D00B3","Viipurin lääni","","Huono","Mies","Naimisissa"
"66","000000000007DAA7","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"67","00000000001414B9","Viipurin lääni","","Muu","Mies","Naimisissa"
"68","0000000000149806","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"69","000000000007FF1F","Viipurin lääni","","Ei tietoa","Mies","Leski"
"70","0000000000070BD4","Viipurin lääni","","Huono","Mies","Naimisissa"
"71","00000000000E5864","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
